0.75,1.19,c
1.6,1.96,c
2.1100000000000003,2.79,cb
2.9000000000000004,3.42,c
3.8400000000000003,4.0200000000000005,c
4.5200000000000005,4.7,b
5.25,6.07,cb
5.8,6.62,cb
6.43,7.07,c
7.27,7.93,cb
8.190000000000001,8.59,b
8.870000000000001,9.43,c
9.6,10.1,c
10.61,11.21,c
11.31,11.83,c
12.17,12.549999999999999,b
12.819999999999999,13.24,c
13.54,13.86,c
15.14,15.48,c
15.850000000000001,16.35,c
16.38,17.099999999999998,cb
17.310000000000002,17.89,cb
17.94,18.76,cb
18.59,19.349999999999998,c
19.130000000000003,19.71,c
19.419999999999998,20.24,c
19.889999999999997,20.59,c
20.25,21.049999999999997,c
21.0,21.58,c
21.71,22.11,c
22.189999999999998,22.61,c
22.83,23.33,c
23.61,23.83,c
24.15,24.53,c
24.73,25.19,b
25.330000000000002,25.51,c
25.7,25.959999999999997,c
26.29,26.57,c
26.75,27.33,c
28.03,28.53,c
28.87,29.19,b
29.44,29.900000000000002,c
29.95,30.55,c
30.25,31.07,cb
30.89,31.57,c
31.62,31.98,c
32.11,32.59,c
32.84,33.2,c
33.28,33.900000000000006,cb
34.0,34.58,cb
34.69,35.370000000000005,c
35.31,36.05,cb
36.16,36.58,c
36.78,37.379999999999995,cb
37.4,37.9,c
38.019999999999996,38.64,b
39.04,39.699999999999996,c
39.7,40.34,c
40.52,41.26,c
41.21,41.809999999999995,c
42.49,42.93,c
43.32,43.48,b
44.010000000000005,44.25,b
44.629999999999995,45.19,c
45.57,45.87,b
46.09,46.69,c
46.66,47.2,c
47.47,47.97,c
48.26,48.6,b
48.88,49.4,b
49.86,50.239999999999995,c
51.19,51.53,b
52.43,53.01,c
53.23,53.71,c
53.980000000000004,54.3,c
54.589999999999996,54.93,b
55.45,55.83,c
56.12,56.4,c
56.8,57.06,c
57.46,57.839999999999996,b
58.13,58.43,c
58.73,59.15,c
59.89,60.230000000000004,b
60.63,60.910000000000004,b
61.19,61.769999999999996,cb
61.949999999999996,62.35,c
63.5,63.739999999999995,b
64.11999999999999,64.52,b
64.66000000000001,65.36,cb
