0.75,r
1.46,r
2.24,r
3.03,r
3.75,r
4.48,r
5.18,r
6.02,r
6.81,r
7.48,r
8.3,r
9.08,r
9.77,r
10.65,r
11.39,r
12.17,r
12.82,r
13.67,r
14.36,r
15.1,r
15.86,r
16.69,r
17.43,r
18.18,r
18.87,r
19.71,r
20.5,r
21.26,r
22.05,r
22.7,r
23.58,r
24.37,r
25.15,r
26.01,r
26.86,r
27.61,r
28.44,r
29.11,r
29.96,r
30.85,r
31.63,r
32.45,r
33.14,r
33.89,r
34.73,r
35.53,r
36.23,r
37.11,r
37.83,r
38.57,r
39.51,r
40.31,r
41.02,r
41.8,r
42.66,r
43.44,r
44.26,r
45.01,r
45.75,r
46.51,r
52.86,r
53.99,r
54.97,r
55.67,r
56.57,r
57.32,r
58.21,r
58.99,r
59.71,r
60.49,r
61.17,r
61.96,r
62.67,r
63.56,r
64.02,r
64.44,r
64.98,r
65.48,r
65.89,r
66.66,r
67.28,r
67.69,r
68.1,r
68.6,r
69.57,r
70.21,r
71.07,r
71.67,r
72.54,r
73.05,r
74.03,r
74.9,r
75.68,r
76.48,r
77.25,r
77.94,r
78.86,r
79.64,r
80.4,r
81.14,r
81.95,r
82.73,r
83.59,r
84.32,r
85.15,r
85.94,r
86.7,r
87.51,r
88.29,r
88.93,r
89.89,r
90.63,r
91.39,r
92.31,r
93.05,r
93.75,r
94.43,r
95.27,r
96.2,r
97.0,r
97.68,r
98.41,r
99.16,r
99.94,r
100.81,r
101.61,r
103.88,r
104.29,r
104.78,r
107.16,r
108.06,r
108.99,r
109.77,r
110.68,r
111.44,r
112.22,r
113.03,r
114.05,r
114.76,r
115.45,r
116.31,r
116.93,r
117.8,r
118.55,r
119.27,r
120.13,r
120.84,r
121.57,r
122.42,r
123.18,r
123.89,r
124.64,r
125.49,r
126.16,r
126.94,r
127.84,r
128.62,r
129.24,r
130.12,r
130.85,r
131.64,r
132.39,r
133.21,r
133.88,r
134.83,r
135.41,r
136.25,r
137.01,r
137.84,r
138.63,r
139.29,r
140.16,r
140.97,r
141.64,r
142.49,r
143.32,r
143.79,r
144.32,r
145.17,r
145.91,r
146.67,r
147.37,r
148.06,r
148.89,r
149.61,r
150.45,r
151.21,r
152.02,r
152.75,r
153.43,r
154.37,r
155.12,r
157.26,r
160.49,r
161.85,r
162.75,r
163.73,r
164.53,r
165.4,r
166.2,r
166.98,r
167.77,r
168.63,r
